pIndex	Problem	Equation	Relevant Indices	Number of Operators
1247	डीनीस ने 1 डिब्बे से 5 केले निकाले। डिब्बे में पहले 46 केले थे। डिब्बे में अब कितने केले बचे हैं?	X = ( 46 - 5 )	[2, 1]	1
1248	1 आम का 0.5 भाग सुनीता को तथा 0.25 भाग राधा को मिला, दोनों को मिलाकर कितना आम मिला?	X = ( 0.5 + 0.25 )	[1, 2]	1
1249	नीना के पास किताबों का 1 बड़ा संग्रह है। उसने अपने दोस्त को 15 दीं। अब उसके पास 78 किताबें शेष हैं। पहले नीना के संग्रह में कितनी किताबें थीं?	X = ( 15 + 78 )	[1, 2]	1
1250	आर्केड में कोड़ी ने 49 टिकट जीतीं। अगर उसने 6 टिकट खो दीं और बाद में 1 टोपी पर 25 टिकट खर्च कीं, तो उसके पास कितनी टिकट बची होंगी?	X = ( 49 - ( 6 + 25 ) )	[0, 1, 3]	2
1251	डारनेल 0.875 लैप दौड़ा और फिर उसने 0.75 लैप जॉगिंग की। डारनेल जॉगिंग करने की तुलना में कितना ज़्यादा दौड़ा?	X = ( 0.875 - 0.75 )	[0, 1]	1
1252	वर्तमान में पार्क में 7 पीपल के पेड़ हैं। पार्क कर्मचारियों को आज 5 पीपल के पेड़ों को काटना होगा लेकिन वे कल 4 पीपल के पेड़ लगाएँगे। मज़दूरों का काम खत्म होने पर कितने पीपल के पेड़ होंगे?	X = ( ( 7 + 4 ) - 5 )	[0, 2, 1]	2
1253	फूल गुलदस्ते बनाने के लिए करिश्मा ने 36 ट्यूलिप और 37 गुलाब तोड़े। अगर उसने केवल 70 फूलों का प्रयोग किया, तो करिश्मा ने कितने अतिरिक्त फूल तोड़े?	X = ( ( 36 + 37 ) - 70 )	[0, 1, 2]	2
1254	मेधा के पास 2 कुत्ते हैं। प्रत्येक दिन, 1 कुत्ता 0.125 चम्मच खाना खाता है और दूसरा कुत्ता 0.125 चम्मच खाता है। प्रत्येक दिन, दोनो मिलकर कितना खाना खाते हैं?	X = ( 0.125 + 0.125 )	[2, 3]	1
1256	सुष्मिता 1 वीडियो गेम खेल रही थी और उसकी 43 लाइव्ज़ थीं। गेम के 1 कठिन स्तर में उसने 14 लाइव्ज़ जीतीं। यदि उसे अगले स्तर में 27 लाइव्ज़ और मिलें, तो उसके पास कितनी लाइव्ज़ होंगी?	X = ( ( 43 + 27 ) + 14 )	[1, 4, 3]	2
1258	रैंडी के पास 78 डिब्बे थे। उसने टॉवर बनाने के लिए 19 डब्बों का प्रयोग किया। कितने डिब्बे बचे हैं?	X = ( 78 - 19 )	[0, 1]	1
1259	जेसन अपने स्कूल के बैंड में शामिल हुआ। उसने ₹142.46 की 1 बांसुरी, ₹8.89 का 1 म्यूज़िक स्टैंड और ₹7 की गानों की 1 किताब खरीदी। जेसन ने म्यूजिक स्टोर में कितना ख़र्चा किया?	X = ( ( 142.46 + 8.89 ) + 7 )	[0, 2, 4]	2
1260	हेले के पास 25 मीटबॉल थीं। क्रिस्टन ने उसे 11 और दीं। हेले के पास अब कितनी मीटबॉल हैं?	X = ( 25 + 11 )	[0, 1]	1
1262	शुक्रवार को कनिष्क ने सिनेमा हॉल के 2 टिकट ख़रीदने के लिए ₹5.92 खर्च किए। उसने 6.79 रुपये की 1 फिल्म की CD किराए पर ली। कनिष्क ने भुगतान करने के लिए ₹20 का नोट दिया। उसे कुल कितने पैसे वापस मिले?	X = ( 20 - ( 5.92 + 6.79 ) )	[4, 1, 2]	2
1263	बम्पर कारों की क़तार में 9 लोग थे। अगर 6 लोग इंतजार करते करते थककर चले गए और 3 और लोग क़तार में लग गए, तो कितने लोग क़तार में थे?	X = ( ( 9 + 3 ) + 6 )	[0, 2, 1]	2
1264	मालिनी के पास 18 बेसबॉल कार्ड थे और उसने कनिष्क को 26 बेसबॉल कार्ड देने का वादा किया था। अगर मालिनी ने 40 बेसबॉल कार्ड खरीदे, तो कनिष्क को कार्ड देने के बाद उसके पास कितने बचेंगे?	X = ( ( 18 + 40 ) - 26 )	[0, 2, 1]	2
1268	1 परिवार में 1 महीने में 10.750 कि . ग्राम गेहूं और 4.500 कि . ग्राम चावल की खपत होती है । गेहूँ और चावल की खपत में अंतर पता करों ।	X = ( 10.750 - 4.500 )	[2, 3]	1
1272	सारा के पास बैंक में 100 अदिति और 783 निकल्स थे। उसके पिताजी ने सारा को 271 निकल्स दिए। उसके पास अब कितने निकल्स हैं?	X = ( 783 + 271 )	[1, 2]	1
1273	टिम के पास 44 किताबें हैं। सिद्धांत के पास 52 किताबें हैं। उनके पास कुल कितनी किताबें हैं?	X = ( 44 + 52 )	[0, 1]	1
1275	कैड के पास 87 कंचे थे। उसने डिलन को 8 दिए। उसके पास कितने कंचे बचे?	X = ( 87 - 8 )	[0, 1]	1
1276	फ़ुटबॉल के मैदान पर 14 बच्चे थे। मैदान पर 22 और बच्चे शामिल हो गए। अब कुल कितने बच्चे फ़ुटबॉल के मैदान पर हैं?	X = ( 14 + 22 )	[0, 1]	1
1277	आयशा के पास 58 किताबें हैं। 19 स्कूल के बारे में हैं और बाकी खेलों के बारे में हैं। आयशा के पास खेल के बारे में कितनी किताबें हैं?	X = ( 58 - 19 )	[0, 1]	1
1280	बस में 18 बच्चे सवार थे। बस स्टॉप पर कुछ और बच्चे बस में चढ़ गए। अब बस में कुल 25 बच्चे हैं। बस स्टॉप पर कितने बच्चे बस में चढ़े?	X = ( 25 - 18 )	[1, 0]	1
1281	टौड के पास 54 टाॅफ़ियाँ थीं। स्टीव ने उसे 16 टाॅफ़ियाँ दीं। टॉड के पास अब कितनी टाॅफ़ियाँ हैं?	X = ( 54 + 16 )	[0, 1]	1
1283	नोर्मा के पास 88 कार्ड थे। उसने 70 गुमा दिए। नोर्मा के पास अब कितने कार्ड हैं?	X = ( 88 - 70 )	[0, 1]	1
1286	अथर्व के पास 87 बेसबॉल कार्ड थे। सिद्धांत ने अथर्व के बेसबॉल कार्ड्स में से 13 खरीदे। अथर्व के पास अब कितने बेसबॉल कार्ड हैं?	X = ( 87 - 13 )	[0, 1]	1
1287	महेश के पास 16 रुपये थे। उसे अपने जन्मदिन पर 28 रुपये और मिले, लेकिन 1 नए गेम पर उसने 25 खर्च कर दिए। उसके पास अब कितने रुपये हैं?	X = ( ( 16 + 28 ) - 25 )	[0, 1, 3]	2
1289	1 संस्थान ने हैनकॉक जिले के कुछ घरों को 6689 लीटर पेंट से सफ़ेद और नीले रंग में रंगा। अगर उन्होंने 660 लीटर सफ़ेद पेंट का इस्तेमाल किया, तो संस्थान ने कितने लीटर नीले पेंट का इस्तेमाल किया?	X = ( 6689 - 660 )	[1, 2]	1
1290	इस साल जागृति फुटबॉल के 4 मैच देखने गई। वह पिछले साल 9 मैच देखने गई थी। जागृति कुल कितने फुटबॉल के मैच देखने गई?	X = ( 4 + 9 )	[0, 1]	1
1291	कालीन ने 1 बाल्टी में 0.75 लीटर पानी डाला। कुछ मिनटों बाद, उसने 0.5 लीटर पानी और डाला। बाल्टी में कितना पानी है?	X = ( 0.75 + 0.5 )	[1, 2]	1
1292	हेली की प्लेट में 25 कोफ़्ते थे। क्रिस्टन ने उसके कुछ कोफ़्ते चुरा लिए। अब टीना की प्लेट में 11 कोफ़्ते हैं। क्रिस्टन ने कितने कोफ़्ते चुराए?	X = ( 25 - 11 )	[0, 1]	1
1294	1 कारखाने में पहले दिन 270 बल्ब बने। दूसरे दिन 123 बल्ब बने। कारखाने में कुल मिलाकर कितने बल्ब बने?	X = ( 270 + 123 )	[1, 2]	1
1296	चंडीगढ़ से 1 बस सुबह 8:30 बजे चलती है और दोपहर 1:30 बजे दिल्‍ली पहुँच जाती है । चंडीगढ़ से दिल्ली पहुँचने के लिए बस में कितना समय लगेगा ।	X = ( ( 12 + 1:30 ) - 8:30 )	['implicit', 3, 4, 1, 2]	2
1297	लिंडसे की वेकेशन वियर की दुकान में, कपड़ों का 0.375 भाग बिकनी हैं और 0.25 भाग निक्कर हैं। कपड़ों का कितना भाग बिकनी या निक्कर हैं?	X = ( 0.375 + 0.25 )	[0, 1]	1
1298	नेहा 29 साल की है। उसकी माँ 58 साल की है। नेहा की माँ उससे कितनी बड़ी है?	X = ( 58 - 29 )	[1, 0]	1
1300	राम के पास 408 टॉफ़ियाँ हैं। मोहन के पास 520 टॉफ़ियाँ है। भवन के पास राम से कितनी ज़्यादा हैं?	X = ( 520 - 408 )	[1, 0]	1
1301	मार्च में 0.81 इंच बारिश हुई। मार्च की तुलना में अप्रैल में 0.35 इंच कम बारिश हुई। अप्रैल में कितने इंच बारिश हुई?	X = ( 0.81 - 0.35 )	[0, 1]	1
1303	5178 टॉफियों को 15 बच्चों में बराबर बराबर बाँटने के बाद शेष बची टॉफियों की गिनती बताओ ।	X = ( 5178 % 15 )	[0, 1]	0
1305	पवन को अपने जन्मदिन पर 479 क्रेयॉन का 1 डब्बा मिला। साल के अंत में उसके पास केवल 134 क्रेयॉन बचे थे। कितने क्रेयॉन खो गए या दे दिए गए?	X = ( 479 - 134 )	[0, 2]	1
1306	रोज़ा के पास 67 फूल थे। आंद्रे ने उसे 90 फूल और दिए। रोज़ा के पास कुल कितने फूल हैं?	X = ( 90 + 67 )	[1, 0]	1
1307	कमल का परिवार पहाड़ों में कैम्पिंग ट्रिप पर गया था। पहले दिन, वे अपनी गाड़ी से कैंपसाइट तक पहुँचे। सबसे पहले, वे गाड़ी से 1 धारा तक 0.2 मील चले और धारा से 1 घास के मैदान तक 0.4 मील चले। फिर वे घास के मैदान से कैंपसाइट तक 0.1 मील चले। कमल का परिवार कुल कितने मील चला?	X = ( ( 0.2 + 0.4 ) + 0.1 )	[1, 3, 4]	2
1309	जेसन पिछले महीने फ़ुटबॉल के 11 मैच और इस महीने उसका 17 मैच देखने का इरादा है। उसका इरादा बदल गया, इसलिए उसके 16 मैच छूट गए। उसने कुल कितने मैच देखे?	X = ( ( 11 + 17 ) - 16 )	[0, 1, 2]	2
1310	इस साल जागृति के स्कूल ने राज्य में बेसबॉल के 864 मैच खेले जिसमें से रात को 128 मैच खेले गए। यदि स्कूल ने राज्य के बाहर 395 मैच और खेले, तो उस वर्ष उन्होंने कुल कितने मैच खेले?	X = ( 864 + 395 )	[0, 2]	1
1312	चौथी कक्षा में वर्ष की शुरुआत में 10 छात्र थे। वर्ष के दौरान 4 छात्र और आए और 42 नए छात्र स्कूल आए। अंत में चौथी कक्षा में कितने छात्र थे?	X = ( ( 10 + 42 ) + 4 )	[0, 2, 1]	2
1313	1 पेड़ पर 29 पक्षी बैठे थे। कुछ और पक्षी आए और पेड़ पर बैठ गए। अब पेड़ पर 42 पक्षी बैठे हैं। कितने नए पक्षी पेड़ पर आकर बैठे थे?	X = ( 42 - 29 )	[2, 1]	1
1314	सारा के पास 31 लाल और 15 हरे रंग के गुब्बारे हैं। उसने गुरप्रीत को 24 लाल गुब्बारे दिए। उसके पास कुल कितने लाल गुब्बारे हैं?	X = ( 31 - 24 )	[0, 2]	1
1316	अपनी छुट्टियों में मानवी ने चिड़ियाघर में 15 तस्वीरें और संग्रहालय में 18 तस्वीरें खींचीं। अगर उसने बाद में 31 तस्वीरें डिलीट कर दीं, तो अभी भी उसके पास छुट्टियों की कितनी तस्वीरें हैं?	X = ( ( 15 + 18 ) - 31 )	[0, 1, 2]	2
1317	अथर्व अपने स्कूल के बैंड में शामिल हुआ। उसने ₹145.16 की 1 बांसुरी खरीदी और गानों की 1 किताब बेची जो ₹5.84 की थी। म्यूजिक स्टोर में अथर्व ने कितनी शुद्ध राशि खर्च की?	X = ( 145.16 - 5.84 )	[0, 3]	1
1318	पेड़ पर 5 चिड़ियाँ बैठी थी 2 चिड़ियाँ उड़ गई । कितनी बचीं ?	X = ( 5 - 2 )	[0, 1]	1
1319	ज़ोया और उसका परिवार स्ट्रॉबेरी और ब्लूबेरी जेली का बहुत प्रयोग करते हैं, क्योंकि वे हर सुबह टोस्ट खाते हैं। फिलहाल, उनके पास कुल मिलाकर 6310 ग्राम जेली है। यदि उनके पास 4518 ग्राम ब्लूबेरी जेली है, तो उनके पास कितने ग्राम स्ट्रॉबेरी जेली है?	X = ( 6310 - 4518 )	[0, 1]	1
1320	आज 1 भोजनालय ने दोपहर के खाने में 6 और रात के खाने में 9 केक परोसे। आज कितने केक परोसे गए?	X = ( 6 + 9 )	[1, 2]	1
1321	मालिनी 1 केक पका रही है। नुस्खे के अनुसार 7 कप आटा और 3 कप चीनी चाहिए। उसने 2 कप आटा और डालने का फैसला किया। उसने कुल कितने कप आटा ड़ाला?	X = ( 7 + 2 )	[1, 3]	1
1322	शेल्बी की शिक्षका अच्छी गणित के लिए सुनहरे स्टार देती हैं। कल शेल्बी को 4 स्टार मिले। आज उसे 3 और मिले। शेल्बी को कुल कितने स्टार मिले?	X = ( 4 + 3 )	[0, 1]	1
1324	स्कूल कैफ़ेटेरिया ने छात्रों को दोपहर के खाने में 42 लाल सेब और 7 हरे सेब दिए। लेकिन, अगर केवल 9 छात्रों को फल चाहिए थे, तो कैंटीन में कितने फल अतिरिक्त रह गए?	X = ( ( 42 + 7 ) - 9 )	[0, 1, 2]	2
1326	जेसन ने 23 तरबूज और 18 शलजम उगाए। नैन्सी ने 28 तरबूज उगाए। उन्होंने कुल कितने तरबूज उगाए?	X = ( 23 + 28 )	[0, 2]	1
1327	मारिया के पास 67 टॉफ़ियाँ थीं। उसने 64 खाईं। मारिया के पास अब कितनी टॉफ़ियाँ हैं?	X = ( 67 - 64 )	[0, 1]	1
1328	शिकागो में लोग होली मना रहे हैं। बॉब, यशोदा और सिद्धांत सुपरहीरो बनकर टाॅफ़ियाँ लेने बाहर गए। मेन स्ट्रीट के घरों से गुज़रकर तीनों दोस्तों ने अपनी टाॅफ़ियाँ गिनी। यदि बॉब के पास 10 टाॅफ़ियाँ हैं, यशोदा के पास 5 और सिद्धांत के पास 10 टाॅफ़ियाँ हैं, तो बॉब और यशोदा के पास सिद्धांत के मुक़ाबले कितनी अधिक टाॅफ़ियाँ हैं?	X = ( ( 10 + 5 ) - 10 )	[0, 1, 2]	2
1330	1 टोकरी में 10 लाल सेब और दूसरी टोकरी में 8 हरे सेब हैं । दोनों टोकरियों में कितने सेब हैं ?	X = ( 10 + 8 )	[1, 2]	1
1331	दिवाली पर कबीर को 10 किलो मिठाई और महिमा को 7 किलो मिठाई मिली। उन्हें मिली मिठाइयों को संयुक्त वजन कितना है?	X = ( 10 + 7 )	[0, 1]	1
1332	देवी ने सुबह 60 दीपक बनाए व शाम को 32 दीपक बनाए तो बताओ देवी ने कितने दीपक बनाए ?	X = ( 60 + 32 )	[0, 1]	1
1334	विष्णु के पास 1 हवाई जहाज़ खरीदने के लिए ₹5 हैं जिसकी क़ीमत ₹4.28 है। उसे कितने रुपये वापस मिलेंगें?	X = ( 5 - 4.28 )	[1, 2]	1
1335	1 96 किलो गेहूँ की बोरी में से 48 किलो गेहूँ निकाल लिए तो बताइए अब उसमें कितने गेहूँ रहे?	X = ( 96 - 48 )	[1, 2]	1
1337	अथर्व के पास 87 बेसबॉल कार्ड थे। सिद्धांत ने अथर्व को 13 बेसबॉल कार्ड और दिए। अथर्व के पास अब कितने बेसबॉल कार्ड हैं?	X = ( 87 + 13 )	[0, 1]	1
1338	जॉनेथन 1 शब्दकोष खरीदना चाहता है जिसकी कीमत ₹11 है, 1 डायनॉसॉर पर किताब जिसकी कीमत ₹19 है और 1 बच्चों की पकवान की किताब है जिसकी कीमत ₹7 है। जॉनेथन को तीनों किताबों को खरीदने के लिए कितना पैसा चाहिए?	X = ( ( 11 + 19 ) + 7 )	[1, 3, 5]	2
1340	किसान बन्सीलाल के 6048 मेमनों में से प्रत्येक काला या सफ़ेद है। 193 सफ़ेद हैं। किसान बन्सीलाल के कितने मेमने काले हैं?	X = ( 6048 - 193 )	[0, 1]	1
1341	जेसन को समुद्र तट पर 49 सीपियाँ और 48 स्टारफ़िश मिलीं। उसने टिम को 13 सीपियाँ दीं। जेसन के पास अब कितनी सीपियाँ हैं?	X = ( 49 - 13 )	[0, 2]	1
1342	अजय को 7 सीपियाँ मिलीं जिनमें से 4 टूटी हुईं थीं। अजय को कितनी अटूट सीपियाँ मिलीं?	X = ( 7 - 4 )	[0, 1]	1
1344	1 महिला ने सोमवार को 9 स्वेटर बुने। मंगलवार को उसने 3 स्वेटर बुने और बुधवार को 7 स्वेटर बुने। 3 दिनों में उस महिला ने कुल कितने स्वेटर बुने?	X = ( ( 9 + 3 ) + 7 )	[1, 2, 3]	2
1348	जेसन के पास 18 किताबें हैं और वह उनमें से 9 पढ़ चुका है। मालिनी के पास 42 किताबें हैं। उनके पास कुल कितनी किताबें हैं?	X = ( 18 + 42 )	[0, 2]	1
1351	स्कारलेट के कप में 0.16666666666666666 कप तेल है। यदि स्कारलेट ने 0.6666666666666666 कप और डाला, तो उस्के कप में कितना तेल होगा?	X = ( 0.16666666666666666 + 0.6666666666666666 )	[0, 1]	1
1352	जगतार सिंह ने बाज़ार से ₹ 1430 का रेडियो खरीदा । उसने दुकानदार को ₹ 2000 का नोट दिया । उसके पास कुल कितने रुपये बाकी बचे ?	X = ( 2000 - 1430 )	[1, 0]	1
1353	सिद्धांत के पास बैंक में 98 पैसे थे। उसे 93 पैसे और मिले। उसके पास अब कितने पैसे हैं?	X = ( 98 + 93 )	[0, 1]	1
1355	बाड़ पर 12 पक्षी बैठे थे। 8 और पक्षी बाड़ पर आकर बैठ गए। बाड़ पर कुल कितने पक्षी बैठे हैं?	X = ( 12 + 8 )	[0, 1]	1
1356	1 बाग़ में 37 पेड़ आम के एवं 58 पेड़ अमरूद के हैं तो बताओ बाग़ में कुल कितने पेड़ है?	X = ( 37 + 58 )	[1, 2]	1
1357	एलेन के पास 380 खिलौने थे, लेकिन एलेन ने उनमें से 57 खो दिए। अब एलेन के पास कितने खिलौने हैं?	X = ( 380 - 57 )	[0, 1]	1
1358	मालिनी मॉल गई। उसने 1 क़मीज़ पर ₹13.04 और 1 जैकेट पर ₹12.27 खर्च किए। वह 2 दुकानों में गई। कुल मिलाकर, मालिनी ने कपड़ों पर कितने रुपये खर्च किए?	X = ( 13.04 + 12.27 )	[1, 3]	1
1359	जागृति को समुद्र के किनारे 72 सीपियाँ और 12 स्टारफ़िश मिलीं। उसने ओजस्वी को उसके कुछ सीपियाँ दीं। उसके पास अब 28 सीपियाँ है। ओजस्वी को उसने कितनी सीपियाँ दीं?	X = ( 72 - 28 )	[0, 2]	1
1360	दैविक के पास 64 बैंगनी कंचे थे। मालिनी ने उसे 14 लाल कंचे दिए। उसके पास अब कितने कंचे हैं?	X = ( 64 + 14 )	[0, 1]	1
1362	मिलबर्ग शहर में 5256 वयस्क और 2987 बच्चे हैं। मिलबर्ग में कुल कितने लोग रहते हैं?	X = ( 5256 + 2987 )	[0, 1]	1
1365	उन्होंने कुल 179 वयस्कों और 141 बच्चों को खाना परोसा। यदि उन सब में से 156 पुरुष हैं, तो कितनी महिलाएँ हैं?	X = ( ( 179 + 141 ) - 156 )	[0, 1, 2]	2
1366	1 ठेले पर लोग भुट्टे खाने के लिए आए। 60 लोगों ने नींबू लगाकर भुट्टे खाए, 70 लोगों ने नमक और नींबू लगाकर भुट्टे खाए, 50 लोगों ने सिर्फ़ नमक लगाकर भुट्टे खाए। हर व्यक्ति ने केवल 1 भुट्टा खाया। कितने लोगों ने अपने भुट्टे पर नींबू लगाया?	X = ( 60 + 70 )	[1, 2]	1
1367	सोहन के पास 365 टॉफ़ियाँ थीं। उसे उसकी माता ने 269 टॉफ़ियाँ और दीं, बताओ आप सोहन के पास कुल कितनी टॉफ़ियाँ हैं?	X = ( 365 + 269 )	[0, 1]	1
1368	सैली ने 5 प्याज और कनिष्क 9 प्याज उगाए। उन्होंने अपने बगीचे से सारा को 4 प्याज दिए। सैली और कनिष्क के पास अब कितने प्याज हैं?	X = ( ( 5 + 9 ) - 4 )	[0, 1, 2]	2
1369	बगीचे में 3 पेड़ लंबे और 3 पेड़ छोटे हैं । बताओ , बगीचे में कुल कितने पेड़ हैं ?	X = ( 3 + 3 )	[0, 1]	1
1371	1 दूध वाले ने 3 गौशाला से क्रमशः 250 मिली , 750 मिली तथा 500 मिली दूध लिया। उसके द्वारा लिए गये दूध की कुल मात्रा क्‍या है ?	X = ( ( 250 + 750 ) +  500 )	[2, 3, 4]	2
1374	शुरूआत में जैक के पास 62 कंचे थे। उसने रेबेका को 33 दिए। जैक के पास कितने कंचे बचे?	X = ( 62 - 33 )	[0, 1]	1
1375	मिलफोर्ड झील पहले नीले रंग की थी क्योंकि इसमें केवल 3263 शैवाल के पौधे थे। अब पहले से 809 ज़्यादा शैवाल के पौधे हैं और झील हरी हो गई। मिलफोर्ड झील में अब कितने शैवाल के पौधे हैं?	X = ( 3263 + 809 )	[0, 1]	1
1376	बेनी को समुद्र तट पर 66 सीपियाँ और 49 स्टारफ़िश मिलीं। उसने जेसन को 52 सीपियाँ दीं। बेनी के पास अब कितनी सीपियाँ हैं?	X = ( 66 - 52 )	[0, 2]	1
1377	1 दुकान में 56 कमीजें हैं। बाद में उन्हें 11 और कमीजें मिलीं। दुकान में अब कितनी कमीजें हैं?	X = ( 56 + 11 )	[1, 2]	1
1379	मेले में ज्योति ने 2 डॉलर सवारियों पर, 8 डॉलर खेलों पर और 2 डॉलर खाने पर खर्च किए। उसने कुल कितना पैसा खर्च किया?	X = ( ( 2 + 8 ) + 2 )	[0, 1, 2]	2
1380	प्रिया का फ़ोन का बिल 54 रुपये है। उसने अपना फ़ोन का प्लान बदला जिससे उसे 15 रुपये की बचत हुई, लेकिन डेटा की क़ीमत 25 रुपये बढ़ गई। अब उसका फ़ोन का बिल कितना है?	X = ( ( 54 + 25 ) - 15 )	[0, 2, 1]	2
1382	शिवम के पास 210 बेसबॉल कार्ड थे। कार्टर ने उन्हें 58 कार्ड दिए। शिवम के पास अब कितने बेसबॉल कार्ड हैं?	X = ( 210 + 58 )	[0, 1]	1
1383	मारिया ने अपने बगीचे से 48 गाजरें उखाड़ीं। अगर उसने उनमें से 11 फेंक दीं और फिर अगले दिन 15 और उखाड़ीं, तो उसके पास कुल कितनी गाजरें होंगीं?	X = ( ( 48 + 15 ) - 11 )	[0, 2, 1]	2
1384	दक्ष बोतल के ढक्कन एकत्र करता है। उसे पार्क में 18 बोतल के ढक्कन मिले। अब उसके संग्रह में 55 बोतल के ढक्कन हैं। दक्ष के पास पहले कितने बोतल के ढक्कन थे?	X = ( 55 - 18 )	[1, 0]	1
1385	परनीत के पास 9 टॉफियाँ और तरलीन के पास 6 टॉफियाँ हैं । दोनों की टॉफियों को मिलाकर कितनी टॉफियाँ हैं ?	X = ( 9 + 6 )	[0, 1]	1
1386	1 बस चंडीगढ़ से सुबह 7:30 बजे चलकर 10:50 बजे शिमला पहुँचती है । बस शिमला पहुँचने के लिए कितना समय लेगी ?	X = ( 10:50 - 7:30 )	[3, 4, 1, 2]	1
1387	1 10 मिली दवाई की शीशी में से रोगी को 6 मिली दवाई दी जाती है तो शेष कितनी दवाई बचेगी ?	X = ( 10 - 6 )	[1, 2]	1
1388	1 बस स्टॉप पर 47 लोग बस से उतर गए। अब बस में 43 लोग सवार थे। बस में पहले कितने लोग थे?	X = ( 47 + 43 )	[1, 2]	1
1389	डेरियस ने अपनी दादी से मिलने के लिए 679 मील की दूरी तय की। मंदिरा ने अपनी दादी से मिलने के लिए 998 मील की दूरी तय की। डेरियस और मंदिरा ने कुल कितने मील की दूरी तय की?	X = ( 679 + 998 )	[0, 1]	1
1390	विंस की बस से स्कूल तक की यात्रा 0.625 मील है और ज़ाकिर की बस से स्कूल तक की यात्रा 0.5 मील है। उनकी संयुक्त बस की यात्रा कितने मील की है?	X = ( 0.625 + 0.5 )	[0, 1]	1
1391	1 वीडियो गेम खेलते समय अहमद ने 13 लाइव्ज़ गँवा दीं। अब उसके पास 70 लाइव्ज़ हैं। अहमद के पास प्रारंभ में कितनी लाइव्ज़ थीं?	X = ( 13 + 70 )	[1, 2]	1
1395	शॉन के पास 9 सेब थे। सुज़न ने शॉन को 8 और दिए। बाद में, शॉन ने दुकान से 18 टिकटें खरीदीं। शॉन के पास कुल कितने सेब हैं?	X = ( 9 + 8 )	[0, 1]	1
1396	सिद्धांत के पास 86 पीले और 20 हरे कंचे थे। जागृति ने सिद्धांत को 25 पीले कंचे दिए। सिद्धांत के पास अब कितने पीले कंचे हैं?	X = ( 86 + 25 )	[0, 2]	1
1397	जागृति के पास बैंक में 5 रुपये थे। उसने 2 रुपये ख़र्च किए। उसके पास अब कितने रुपये हैं?	X = ( 5 - 2 )	[0, 1]	1
1399	1 किसान के पास 127 सेब थे। उसने अपने पड़ोसी को 88 सेब दिए। उसके पास अब कितने सेब हैं?	X = ( 127 - 88 )	[1, 2]	1
1401	आपके घर से लगभग 500 कदम की दूरी पर 1 मंदिर है । 400 कदम आप चल चुके हैं , अब बताइए , वहाँ से 45 कदम और चलने पर आप कितने कदम चल चुके होंगे ?	X = ( 400 + 45 )	[2, 3]	1
1404	दूसरी कक्षा में 28 विद्यार्थी हैं । 2 विद्यार्थी नए दाखिल हो गए । दूसरी कक्षा में अब कितने विद्यार्थी हो गए ?	X = ( 28 + 2 )	[0, 1]	1
1405	फिर वे लेक एरी जाते हैं। मुक़ाबला जारी रखते हुए, हेज़ल ने 48 अलग अलग मछलियाँ पकड़ीं, जबकि उसके पिता ने 46 पकड़ीं। उन्होंने लेक एरी में कितनी मछलियाँ पकड़ीं?	X = ( 48 + 46 )	[0, 1]	1
1406	ईशा की पेंसिल 12 सेंटीमीटर लंबी है। अगर उसे 1 और पेंसिल मिलती है जो 12 सेंटीमीटर लंबी है, तो दोनों पेंसिलें मिलाकर कितनी लंबी होंगी?	X = ( 12 + 12 )	[0, 2]	1
1407	जागृति अपने स्कूल के बैंड में शामिल हुई। उसके पास ₹149.16 थे। उसने 9.98 रुपये में 1 संगीत उपकरण खरीदा, लेकिन ₹4.14 की गानों की 1 पुस्तक वापस रख दी। जागृति के पास कितने पैसे बचे हैं?	X = ( ( 149.16 + 4.14 ) - 9.98 )	[0, 3, 1]	2
1409	1 अन्वेषक ने 5155 रत्नों से भरे 1 दफ़न ख़ज़ाने की खोज की। रत्नों में से 45 हीरे थे और बाकी माणिक थे। रत्नों में से कितने माणिक थे?	X = ( 5155 - 45 )	[1, 3]	1
1410	पीटर के पास 8 इरेज़र थे। ब्रिजेट ने पीटर को 3 इरेज़र और दिए। अंत में पीटर के पास कितने इरेज़र होंगे?	X = ( 8 + 3 )	[0, 1]	1
1411	1 जार में 3409 टाॅफ़ियाँ थीं। यदि 145 टाॅफ़ियाँ लाल थीं और बाकी नीली थीं, तो कितनी टाॅफ़ियाँ नीली थीं?	X = ( 3409 - 145 )	[1, 2]	1
1412	भव्य ने मोतियों के 60 हार बनाए। उसने 1 मेले में 16 बेचे। फिर उसने अपने दोस्तों को 18 दिए। अब भव्य के पास कितने हार हैं?	X = ( ( 60 - 16 ) - 18 )	[0, 2, 3]	2
1413	मिकी के पास 356 पत्ते थे। अचानक 112 पत्ते और आ गए। मिकी के पास अब कितने पत्ते हैं?	X = ( 356 + 112 )	[0, 1]	1
1414	मैंडी ने 1 सेब की पाई बनाई। उसने 0.6666666666666666 चम्मच दालचीनी और 0.5 चम्मच जायफल का इस्तेमाल किया। मैंडी ने जायफल से कितनी ज्यादा दालचीनी इस्तेमाल की?	X = ( 0.6666666666666666 - 0.5 )	[1, 2]	1
1415	सारा के पास 31 लाल और 15 हरे गुब्बारे हैं। गुरप्रीत के पास 24 लाल गुब्बारे हैं। उनके पास कुल कितने लाल गुब्बारे हैं?	X = ( 31 + 24 )	[0, 2]	1
